title,author,theme_name
Homecoming,Ngũgĩ wa Thiong'o,Post-independence struggles
Homecoming,Ngũgĩ wa Thiong'o,Power of language
Homecoming,Ngũgĩ wa Thiong'o,Conflict in families
Black Star Nairobi,Mũkoma wa Ngũgĩ,Wealth and materialism
Black Star Nairobi,Mũkoma wa Ngũgĩ,Bad governance
Black Star Nairobi,Mũkoma wa Ngũgĩ,Greed
Dreams from My Father,Barack Obama,Dreams and ambitions
Dreams from My Father,Barack Obama,Youth and unemployment
Dreams from My Father,Barack Obama,Parent-child relationships
Spartacus: The Gladiator,Ben Kane,Folklore and oral traditions
Spartacus: The Gladiator,Ben Kane,Naming and symbolism
Spartacus: The Gladiator,Ben Kane,Justice and injustice
The Trial of Dedan Kimathi,Micere Githae Mugo,Justice and injustice
The Trial of Dedan Kimathi,Micere Githae Mugo,Trauma and healing
The Trial of Dedan Kimathi,Micere Githae Mugo,Oppression
Wasiya ya Mabanati,Ustadh Mau,Gender roles and feminism
Wasiya ya Mabanati,Ustadh Mau,Bad governance
Wasiya ya Mabanati,Ustadh Mau,Urban vs rural life
Speaks,Ngũgĩ wa Thiong'o,Wealth and materialism
Speaks,Ngũgĩ wa Thiong'o,Bad governance
Speaks,Ngũgĩ wa Thiong'o,Education and opportunity
Land Without Thunder,Grace Emily Akinyi Ogot,Wealth and materialism
Land Without Thunder,Grace Emily Akinyi Ogot,Indigenous knowledge
Land Without Thunder,Grace Emily Akinyi Ogot,Generosity
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,Wealth and materialism
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,Greed
Nairobi Noir (Akashic Noir),Ngũgĩ wa Thiong'o,Environmental conservation
Migritude,Shailja Patel,Bad governance
Migritude,Shailja Patel,Hard work
Migritude,Shailja Patel,Religion and spirituality
Wizard of the Crow,Ngũgĩ wa Thiong'o,Power of language
Wizard of the Crow,Ngũgĩ wa Thiong'o,Folklore and oral traditions
Wizard of the Crow,Ngũgĩ wa Thiong'o,Indigenous knowledge
Going Down River Road,Meja Mwangi,Urbanization
Going Down River Road,Meja Mwangi,Urban vs rural life
Going Down River Road,Meja Mwangi,Bad governance
The Dragonfly Sea,Yvonne Adhiambo Owuor,Urban vs rural life
The Dragonfly Sea,Yvonne Adhiambo Owuor,Oppression
The Dragonfly Sea,Yvonne Adhiambo Owuor,Gender roles and feminism
Manukato ya wa mbeja,Ahmed Sheikh Nabhany,Bad governance
Manukato ya wa mbeja,Ahmed Sheikh Nabhany,Gender roles and feminism
Manukato ya wa mbeja,Ahmed Sheikh Nabhany,Religion and spirituality
Q132731040,Barack Obama,Identity crisis
Q132731040,Barack Obama,Community solidarity
Q132731040,Barack Obama,Civic responsibility
Detained: A Writer's Prison Diary,Ngũgĩ wa Thiong'o,Oppression
Detained: A Writer's Prison Diary,Ngũgĩ wa Thiong'o,Justice and injustice
Detained: A Writer's Prison Diary,Ngũgĩ wa Thiong'o,Poverty
Facing Mount Kenya,Jomo Kenyatta,Wealth and materialism
Facing Mount Kenya,Jomo Kenyatta,Bad governance
Facing Mount Kenya,Jomo Kenyatta,Generosity
Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,Power of language
Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,Wealth and materialism
Decolonising the Mind: The Politics of Language in African Literature,Ngũgĩ wa Thiong'o,Oppression
Betrayal in the City,Francis D. Imbuga,Wealth and materialism
Betrayal in the City,Francis D. Imbuga,Bad governance
Betrayal in the City,Francis D. Imbuga,Greed
Haki za watoto,Ustadh Mau,Wealth and materialism
Haki za watoto,Ustadh Mau,Community solidarity
Haki za watoto,Ustadh Mau,Gender roles and feminism
The Heart of a Stranger: An Anthology of Exile Literature,Ngũgĩ wa Thiong'o,Folklore and oral traditions
The Heart of a Stranger: An Anthology of Exile Literature,Ngũgĩ wa Thiong'o,Poverty
The Heart of a Stranger: An Anthology of Exile Literature,Ngũgĩ wa Thiong'o,Storytelling as resistance
The Cockroach Dance,Meja Mwangi,Power of language
The Cockroach Dance,Meja Mwangi,Conflict in families
The Cockroach Dance,Meja Mwangi,Indigenous knowledge
"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey",Louis Leakey,Generosity
"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey",Louis Leakey,Resource exploitation
"Preliminary Excavations of a Mesolithic Site at Abinger Common, Surrey",Louis Leakey,Land and displacement
Petals of Blood,Ngũgĩ wa Thiong'o,Naming and symbolism
Petals of Blood,Ngũgĩ wa Thiong'o,Wealth and materialism
Petals of Blood,Ngũgĩ wa Thiong'o,Trauma and healing
The Climate Book,Wanjira Mathai,Climate and nature
The Climate Book,Wanjira Mathai,Environmental conservation
The Climate Book,Wanjira Mathai,Urban vs rural life
Without kiinua mgongo,David Maillu,Poverty
Without kiinua mgongo,David Maillu,Religion and spirituality
Without kiinua mgongo,David Maillu,Dreams and ambitions
Burying Caesar,Meja Mwangi,Indigenous knowledge
Burying Caesar,Meja Mwangi,Hope and despair
Burying Caesar,Meja Mwangi,Environmental conservation
Writers in Politics,Ngũgĩ wa Thiong'o,Poverty
Writers in Politics,Ngũgĩ wa Thiong'o,Political violence
Writers in Politics,Ngũgĩ wa Thiong'o,Bad governance
Uhuru wa Watumwa,James Mbotela,Post-independence struggles
Uhuru wa Watumwa,James Mbotela,Wealth and materialism
Uhuru wa Watumwa,James Mbotela,Migration and diaspora
The New Harvest: Agricultural Innovation in Africa,Calestous Juma,Wealth and materialism
The New Harvest: Agricultural Innovation in Africa,Calestous Juma,Greed
The New Harvest: Agricultural Innovation in Africa,Calestous Juma,Environmental conservation
Of Thee I Sing,Barack Obama,Silence and voice
Of Thee I Sing,Barack Obama,Greed
Of Thee I Sing,Barack Obama,Religion and spirituality
Travelling while Black,Nanjala Nyabola,Dreams and ambitions
Travelling while Black,Nanjala Nyabola,Bad governance
Travelling while Black,Nanjala Nyabola,Marriage and relationships
Unbowed,Wangari Muta Maathai,Marriage and relationships
Unbowed,Wangari Muta Maathai,Poverty
Unbowed,Wangari Muta Maathai,Morality and ethics
The Perfect Nine,Ngũgĩ wa Thiong'o,Power of language
The Perfect Nine,Ngũgĩ wa Thiong'o,Justice and injustice
The Perfect Nine,Ngũgĩ wa Thiong'o,Trauma and healing
Links of a Chain,Monica Genya,Bad governance
Links of a Chain,Monica Genya,Morality and ethics
Links of a Chain,Monica Genya,Parent-child relationships
Secure the Base,Ngũgĩ wa Thiong'o,Resource exploitation
Secure the Base,Ngũgĩ wa Thiong'o,Environmental conservation
Secure the Base,Ngũgĩ wa Thiong'o,Generosity
Secret Lives and Other Stories,Ngũgĩ wa Thiong'o,Folklore and oral traditions
Secret Lives and Other Stories,Ngũgĩ wa Thiong'o,Identity crisis
Secret Lives and Other Stories,Ngũgĩ wa Thiong'o,Religion and spirituality
Matigari A Novel,Ngũgĩ wa Thiong'o,Wealth and materialism
Matigari A Novel,Ngũgĩ wa Thiong'o,Greed
Matigari A Novel,Ngũgĩ wa Thiong'o,Folklore and oral traditions
The River Between,Ngũgĩ wa Thiong'o,Wealth and materialism
The River Between,Ngũgĩ wa Thiong'o,Environmental conservation
The River Between,Ngũgĩ wa Thiong'o,Bad governance
Ngugi Wa Thiong'o's drama and the kamiriithu popular theater experiment by Gichingiri Ndingiriri,Ngũgĩ wa Thiong'o,Wealth and materialism
Ngugi Wa Thiong'o's drama and the kamiriithu popular theater experiment by Gichingiri Ndingiriri,Ngũgĩ wa Thiong'o,Oppression
Ngugi Wa Thiong'o's drama and the kamiriithu popular theater experiment by Gichingiri Ndingiriri,Ngũgĩ wa Thiong'o,Folklore and oral traditions
Kwani,Binyavanga Wainaina,Wealth and materialism
Kwani,Binyavanga Wainaina,Religion and spirituality
Kwani,Binyavanga Wainaina,Bad governance
The scar : a tragedy in one act,Rebeka Njau,Trauma and healing
The scar : a tragedy in one act,Rebeka Njau,Naming and symbolism
The scar : a tragedy in one act,Rebeka Njau,Morality and ethics
Son of Woman,Charles Mangua,Parent-child relationships
Son of Woman,Charles Mangua,Conflict in families
Son of Woman,Charles Mangua,Marriage and relationships
Game of silence,Francis D. Imbuga,Silence and voice
Game of silence,Francis D. Imbuga,Fate and free will
Game of silence,Francis D. Imbuga,Selfishness
Siku Njema,Ken Waliaula,Conflict in families
Siku Njema,Ken Waliaula,Wealth and materialism
Siku Njema,Ken Waliaula,Trauma and healing
Maps of Englishness,Simon Gikandi,Ethnic diversity
Maps of Englishness,Simon Gikandi,Post-independence struggles
Maps of Englishness,Simon Gikandi,Education and opportunity
Red Strangers,Elspeth Huxley,Generosity
Red Strangers,Elspeth Huxley,Storytelling as resistance
Red Strangers,Elspeth Huxley,Education and opportunity
The Colombia Guide to East African Literature in English Since 1945,Simon Gikandi,Ethnic diversity
The Colombia Guide to East African Literature in English Since 1945,Simon Gikandi,Wealth and materialism
The Colombia Guide to East African Literature in English Since 1945,Simon Gikandi,Storytelling as resistance
The Perfect Nine: The Epic Gikuyu and Mumbi,Ngũgĩ wa Thiong'o,Urban vs rural life
The Perfect Nine: The Epic Gikuyu and Mumbi,Ngũgĩ wa Thiong'o,Trauma and healing
The Perfect Nine: The Epic Gikuyu and Mumbi,Ngũgĩ wa Thiong'o,Religion and spirituality
The Mzungu Boy,Meja Mwangi,Parent-child relationships
The Mzungu Boy,Meja Mwangi,Urban vs rural life
The Mzungu Boy,Meja Mwangi,Marriage and relationships
The Trial of Dedan Kimathi,Ngũgĩ wa Thiong'o,Bad governance
The Trial of Dedan Kimathi,Ngũgĩ wa Thiong'o,Justice and injustice
The Trial of Dedan Kimathi,Ngũgĩ wa Thiong'o,Oppression
Matigari ma Njiruungi,Ngũgĩ wa Thiong'o,Wealth and materialism
Matigari ma Njiruungi,Ngũgĩ wa Thiong'o,Power of language
Matigari ma Njiruungi,Ngũgĩ wa Thiong'o,Environmental conservation
The Black Hermit,Ngũgĩ wa Thiong'o,Indigenous knowledge
The Black Hermit,Ngũgĩ wa Thiong'o,Religion and spirituality
The Black Hermit,Ngũgĩ wa Thiong'o,Ethnic diversity
Devil on the Cross,Ngũgĩ wa Thiong'o,Religion and spirituality
Devil on the Cross,Ngũgĩ wa Thiong'o,Conflict in families
Devil on the Cross,Ngũgĩ wa Thiong'o,Wealth and materialism
A Promised Land,Barack Obama,Post-independence struggles
A Promised Land,Barack Obama,Civic responsibility
A Promised Land,Barack Obama,Environmental conservation
Ngaahika Ndeenda,Ngũgĩ wa Thiong'o,Power of language
Ngaahika Ndeenda,Ngũgĩ wa Thiong'o,Religion and spirituality
Ngaahika Ndeenda,Ngũgĩ wa Thiong'o,Conflict in families
Olympic Dream,Henry Rono,Dreams and ambitions
Olympic Dream,Henry Rono,Greed
Olympic Dream,Henry Rono,Traditional beliefs
How to Write About Africa,Binyavanga Wainaina,Wealth and materialism
How to Write About Africa,Binyavanga Wainaina,Post-independence struggles
How to Write About Africa,Binyavanga Wainaina,Ethnic diversity
The Green Cross of Kafira,Francis D. Imbuga,Indigenous knowledge
The Green Cross of Kafira,Francis D. Imbuga,Naming and symbolism
The Green Cross of Kafira,Francis D. Imbuga,Ethnic diversity
Minutes of Glory: And Other Stories,Ngũgĩ wa Thiong'o,Folklore and oral traditions
Minutes of Glory: And Other Stories,Ngũgĩ wa Thiong'o,Storytelling as resistance
Minutes of Glory: And Other Stories,Ngũgĩ wa Thiong'o,Morality and ethics
Barrel of a pen,Ngũgĩ wa Thiong'o,Resource exploitation
Barrel of a pen,Ngũgĩ wa Thiong'o,Indigenous knowledge
Barrel of a pen,Ngũgĩ wa Thiong'o,Power of language
Decolonising the Mind,Ngũgĩ wa Thiong'o,Oppression
Decolonising the Mind,Ngũgĩ wa Thiong'o,Traditional beliefs
Decolonising the Mind,Ngũgĩ wa Thiong'o,Power of language
Origins,Richard Leakey,Storytelling as resistance
Origins,Richard Leakey,Generosity
Origins,Richard Leakey,Leadership and betrayal
How to be kenyan,Wahome Mutahi,Bad governance
How to be kenyan,Wahome Mutahi,Wealth and materialism
How to be kenyan,Wahome Mutahi,Education and opportunity
Carcase for Hounds,Meja Mwangi,Greed
Carcase for Hounds,Meja Mwangi,Marriage and relationships
Carcase for Hounds,Meja Mwangi,Dreams and ambitions
"Kiswahili, past, present and future horizons",Rocha Chimera,Wealth and materialism
"Kiswahili, past, present and future horizons",Rocha Chimera,Religion and spirituality
"Kiswahili, past, present and future horizons",Rocha Chimera,Fate and free will
Coming to birth,Marjorie Oludhe Macgoye,Selfishness
Coming to birth,Marjorie Oludhe Macgoye,Parent-child relationships
Coming to birth,Marjorie Oludhe Macgoye,Poverty
"Weep Not, Child",Ngũgĩ wa Thiong'o,Parent-child relationships
"Weep Not, Child",Ngũgĩ wa Thiong'o,Poverty
"Weep Not, Child",Ngũgĩ wa Thiong'o,Hope and despair
To Stir the Heart,Ngũgĩ wa Thiong'o,Gender roles and feminism
To Stir the Heart,Ngũgĩ wa Thiong'o,Oppression
To Stir the Heart,Ngũgĩ wa Thiong'o,Political violence
A Grain of Wheat,Ngũgĩ wa Thiong'o,Climate and nature
A Grain of Wheat,Ngũgĩ wa Thiong'o,Wealth and materialism
A Grain of Wheat,Ngũgĩ wa Thiong'o,Poverty
The Promised Land,Grace Emily Akinyi Ogot,Wealth and materialism
The Promised Land,Grace Emily Akinyi Ogot,Greed
The Promised Land,Grace Emily Akinyi Ogot,Generosity
My Mother's Poem and Other Songs,Micere Githae Mugo,Wealth and materialism
My Mother's Poem and Other Songs,Micere Githae Mugo,Community solidarity
My Mother's Poem and Other Songs,Micere Githae Mugo,Generosity
THE DEAD CAME CALLING,Ndũcũ wa Ngũgĩ,Wealth and materialism
THE DEAD CAME CALLING,Ndũcũ wa Ngũgĩ,Bad governance
THE DEAD CAME CALLING,Ndũcũ wa Ngũgĩ,Greed
The Audacity of Hope,Barack Obama,Community solidarity
The Audacity of Hope,Barack Obama,Youth and unemployment
The Audacity of Hope,Barack Obama,Post-independence struggles
The Strange Bride,Grace Emily Akinyi Ogot,Wealth and materialism
The Strange Bride,Grace Emily Akinyi Ogot,Family unity
The Strange Bride,Grace Emily Akinyi Ogot,Indigenous knowledge
The Big Chiefs,Meja Mwangi,Post-independence struggles
The Big Chiefs,Meja Mwangi,Gender roles and feminism
The Big Chiefs,Meja Mwangi,Hard work
Olduvai Gorge; a report on the evolution of the hand-axe culture in beds I-IV,Louis Leakey,Indigenous knowledge
Olduvai Gorge; a report on the evolution of the hand-axe culture in beds I-IV,Louis Leakey,Cultural heritage
Olduvai Gorge; a report on the evolution of the hand-axe culture in beds I-IV,Louis Leakey,Ethnic diversity
Slavery and the Culture of Taste,Simon Gikandi,Oppression
Slavery and the Culture of Taste,Simon Gikandi,Ethnic diversity
Slavery and the Culture of Taste,Simon Gikandi,Poverty
Mtawa Mweusi,Ngũgĩ wa Thiong'o,Wealth and materialism
Mtawa Mweusi,Ngũgĩ wa Thiong'o,Bad governance
Mtawa Mweusi,Ngũgĩ wa Thiong'o,Environmental conservation
Q24937593,Ben Kane,Parent-child relationships
Q24937593,Ben Kane,Community solidarity
Q24937593,Ben Kane,Oppression
Q24937606,Ben Kane,Parent-child relationships
Q24937606,Ben Kane,Generosity
Q24937606,Ben Kane,Oppression
El brujo del cuervo,Ngũgĩ wa Thiong'o,Conflict in families
El brujo del cuervo,Ngũgĩ wa Thiong'o,Post-independence struggles
El brujo del cuervo,Ngũgĩ wa Thiong'o,Power of language
Writing in Limbo,Simon Gikandi,Post-independence struggles
Writing in Limbo,Simon Gikandi,Storytelling as resistance
Writing in Limbo,Simon Gikandi,Mental health
Q24937567,Ben Kane,Parent-child relationships
Q24937567,Ben Kane,Community solidarity
Q24937567,Ben Kane,Generosity
Q130290748,Wangari Muta Maathai,Morality and ethics
Q130290748,Wangari Muta Maathai,Community solidarity
Q130290748,Wangari Muta Maathai,Parent-child relationships
Wrestling with the Devil: A Prison Memoir,Ngũgĩ wa Thiong'o,Folklore and oral traditions
Wrestling with the Devil: A Prison Memoir,Ngũgĩ wa Thiong'o,Poverty
Wrestling with the Devil: A Prison Memoir,Ngũgĩ wa Thiong'o,Bad governance
Globalectics: Theory and the Politics of Knowing (The Wellek Library Lectures),Ngũgĩ wa Thiong'o,Climate and nature
Globalectics: Theory and the Politics of Knowing (The Wellek Library Lectures),Ngũgĩ wa Thiong'o,Ignorance
Globalectics: Theory and the Politics of Knowing (The Wellek Library Lectures),Ngũgĩ wa Thiong'o,Indigenous knowledge
Nairobi Heat,Mũkoma wa Ngũgĩ,Wealth and materialism
Nairobi Heat,Mũkoma wa Ngũgĩ,Environmental conservation
Nairobi Heat,Mũkoma wa Ngũgĩ,Religion and spirituality
WEAPON OF HUNGER,Meja Mwangi,Wealth and materialism
WEAPON OF HUNGER,Meja Mwangi,Greed
WEAPON OF HUNGER,Meja Mwangi,Identity crisis
Sulwe,Lupita Nyong'o,Language and identity
Sulwe,Lupita Nyong'o,Greed
Sulwe,Lupita Nyong'o,Power of language
Dua ya Maarusi,Ahmad Nassir Juma Bhalo Sayyani,Bad governance
Dua ya Maarusi,Ahmad Nassir Juma Bhalo Sayyani,Urban vs rural life
Dua ya Maarusi,Ahmad Nassir Juma Bhalo Sayyani,Post-independence struggles
The Trial of Christopher Okigbo,Ali Mazrui,Justice and injustice
The Trial of Christopher Okigbo,Ali Mazrui,Poverty
The Trial of Christopher Okigbo,Ali Mazrui,Bad governance
Mau Mau From Within: The Story of the Kenya Land and Freedom Army,Ngũgĩ wa Thiong'o,Wealth and materialism
Mau Mau From Within: The Story of the Kenya Land and Freedom Army,Ngũgĩ wa Thiong'o,Bad governance
Mau Mau From Within: The Story of the Kenya Land and Freedom Army,Ngũgĩ wa Thiong'o,Gender roles and feminism
Ngugi wa Thiong'o's drama and the kamiriithu popular theater experiment,Ngũgĩ wa Thiong'o,Wealth and materialism
Ngugi wa Thiong'o's drama and the kamiriithu popular theater experiment,Ngũgĩ wa Thiong'o,Oppression
Ngugi wa Thiong'o's drama and the kamiriithu popular theater experiment,Ngũgĩ wa Thiong'o,Power of language
Foundational African Writers,Simon Gikandi,Wealth and materialism
Foundational African Writers,Simon Gikandi,Storytelling as resistance
Foundational African Writers,Simon Gikandi,Ethnic diversity
Christmas Without Tusker,Meja Mwangi,Conflict in families
Christmas Without Tusker,Meja Mwangi,Greed
Christmas Without Tusker,Meja Mwangi,Hope and despair
In the Name of the Mother: Reflections on Writers and Empire,Ngũgĩ wa Thiong'o,Conflict in families
In the Name of the Mother: Reflections on Writers and Empire,Ngũgĩ wa Thiong'o,Wealth and materialism
In the Name of the Mother: Reflections on Writers and Empire,Ngũgĩ wa Thiong'o,Marriage and relationships
This Time Tomorrow,Ngũgĩ wa Thiong'o,Wealth and materialism
This Time Tomorrow,Ngũgĩ wa Thiong'o,Bad governance
This Time Tomorrow,Ngũgĩ wa Thiong'o,Environmental conservation
Things they Lost,Okwiri Oduor,Poverty
Things they Lost,Okwiri Oduor,Generosity
Things they Lost,Okwiri Oduor,Greed
The Upright Revolution: Or Why Humans Walk Upright,Ngũgĩ wa Thiong'o,Environmental conservation
The Upright Revolution: Or Why Humans Walk Upright,Ngũgĩ wa Thiong'o,Indigenous knowledge
The Upright Revolution: Or Why Humans Walk Upright,Ngũgĩ wa Thiong'o,Generosity
Kill Me Quick,Meja Mwangi,Identity crisis
Kill Me Quick,Meja Mwangi,Urban vs rural life
Kill Me Quick,Meja Mwangi,Good vs evil
Sauti ya dhiki,Abdilatif Abdalla,Bad governance
Sauti ya dhiki,Abdilatif Abdalla,Silence and voice
Sauti ya dhiki,Abdilatif Abdalla,Fate and free will
Liyongo songs,Gudrun Miehe,Power of language
Liyongo songs,Gudrun Miehe,Urban vs rural life
Liyongo songs,Gudrun Miehe,Silence and voice
Mashairi ya miaka kumi ya Azimio la Arusha,Abdilatif Abdalla,Conflict in families
Mashairi ya miaka kumi ya Azimio la Arusha,Abdilatif Abdalla,Bad governance
Mashairi ya miaka kumi ya Azimio la Arusha,Abdilatif Abdalla,Identity crisis
"A statement given by Abdilatif Abdalla, chief co-ordinator of the United Movement for Democracy in Kenya, to the 7th Pan-African Congress, Kampala, Uganda on 3-8 April, 1994",Abdilatif Abdalla,Bad governance
"A statement given by Abdilatif Abdalla, chief co-ordinator of the United Movement for Democracy in Kenya, to the 7th Pan-African Congress, Kampala, Uganda on 3-8 April, 1994",Abdilatif Abdalla,Poverty
"A statement given by Abdilatif Abdalla, chief co-ordinator of the United Movement for Democracy in Kenya, to the 7th Pan-African Congress, Kampala, Uganda on 3-8 April, 1994",Abdilatif Abdalla,Corruption and governance
Imaginative Vision of Abdilatif Abdalla's Voice of Agony,Abdilatif Abdalla,Silence and voice
Imaginative Vision of Abdilatif Abdalla's Voice of Agony,Abdilatif Abdalla,Hard work
Imaginative Vision of Abdilatif Abdalla's Voice of Agony,Abdilatif Abdalla,Greed
Kale ya washairi wa Pemba,Ali bin Said bin Rashid Jahadhmiy,Bad governance
Kale ya washairi wa Pemba,Ali bin Said bin Rashid Jahadhmiy,Urban vs rural life
Kale ya washairi wa Pemba,Ali bin Said bin Rashid Jahadhmiy,Civic responsibility
Sambo ya Kiwandeo,Ahmed Sheikh Nabhany,Bad governance
Sambo ya Kiwandeo,Ahmed Sheikh Nabhany,Religion and spirituality
Sambo ya Kiwandeo,Ahmed Sheikh Nabhany,Post-independence struggles
Umbuji wa kiwandeo,Ahmed Sheikh Nabhany,Bad governance
Umbuji wa kiwandeo,Ahmed Sheikh Nabhany,Wealth and materialism
Umbuji wa kiwandeo,Ahmed Sheikh Nabhany,Post-independence struggles
Umbuji wa mnazi,Ahmed Sheikh Nabhany,Bad governance
Umbuji wa mnazi,Ahmed Sheikh Nabhany,Wealth and materialism
Umbuji wa mnazi,Ahmed Sheikh Nabhany,Poverty
Kilio cha haki,Ali AlʼAmin Mazrui,Wealth and materialism
Kilio cha haki,Ali AlʼAmin Mazrui,Bad governance
Kilio cha haki,Ali AlʼAmin Mazrui,Justice and injustice
The Africans,Ali AlʼAmin Mazrui,Ethnic diversity
The Africans,Ali AlʼAmin Mazrui,Poverty
The Africans,Ali AlʼAmin Mazrui,Oppression
The African condition,Ali AlʼAmin Mazrui,Poverty
The African condition,Ali AlʼAmin Mazrui,Oppression
The African condition,Ali AlʼAmin Mazrui,Greed
Africa's international relations,Ali AlʼAmin Mazrui,Greed
Africa's international relations,Ali AlʼAmin Mazrui,Political violence
Africa's international relations,Ali AlʼAmin Mazrui,Bad governance
Towards a Pax Africana,Ali AlʼAmin Mazrui,Poverty
Towards a Pax Africana,Ali AlʼAmin Mazrui,Wealth and materialism
Towards a Pax Africana,Ali AlʼAmin Mazrui,Morality and ethics
"UNESCO General History of Africa, Vol. VIII",Ali AlʼAmin Mazrui,Ethnic diversity
"UNESCO General History of Africa, Vol. VIII",Ali AlʼAmin Mazrui,Environmental conservation
"UNESCO General History of Africa, Vol. VIII",Ali AlʼAmin Mazrui,Wealth and materialism
The trial of Christopher Okigbo,Ali AlʼAmin Mazrui,Justice and injustice
The trial of Christopher Okigbo,Ali AlʼAmin Mazrui,Poverty
The trial of Christopher Okigbo,Ali AlʼAmin Mazrui,Morality and ethics
Euro-Jews and Afro-Arabs,Ali AlʼAmin Mazrui,Ethnic diversity
Euro-Jews and Afro-Arabs,Ali AlʼAmin Mazrui,Oppression
Euro-Jews and Afro-Arabs,Ali AlʼAmin Mazrui,Poverty
The political sociology of the English language,Ali AlʼAmin Mazrui,Oppression
The political sociology of the English language,Ali AlʼAmin Mazrui,Political violence
The political sociology of the English language,Ali AlʼAmin Mazrui,Ethnic diversity
The power of Babel,Ali AlʼAmin Mazrui,Bad governance
The power of Babel,Ali AlʼAmin Mazrui,Morality and ethics
The power of Babel,Ali AlʼAmin Mazrui,Poverty
The Warrior Tradition in Modern Africa (International Studies in Sociology and Social Anthropology),Ali AlʼAmin Mazrui,Wealth and materialism
The Warrior Tradition in Modern Africa (International Studies in Sociology and Social Anthropology),Ali AlʼAmin Mazrui,Indigenous knowledge
The Warrior Tradition in Modern Africa (International Studies in Sociology and Social Anthropology),Ali AlʼAmin Mazrui,Ethnic diversity
Swahili state and society,Ali AlʼAmin Mazrui,Poverty
Swahili state and society,Ali AlʼAmin Mazrui,Bad governance
Swahili state and society,Ali AlʼAmin Mazrui,Wealth and materialism
Cultural Forces in World Politics,Ali AlʼAmin Mazrui,Bad governance
Cultural Forces in World Politics,Ali AlʼAmin Mazrui,Ethnic diversity
Cultural Forces in World Politics,Ali AlʼAmin Mazrui,Wealth and materialism
